frame,source,multiplier,emission_strength,light_energy
0,open_neon:MAT_OpenNeon_N_film,0.946884,5.113174,14.203260
1,open_neon:MAT_OpenNeon_N_film,0.978222,5.282399,14.673330
2,open_neon:MAT_OpenNeon_N_film,0.976047,5.270654,14.640705
3,open_neon:MAT_OpenNeon_N_film,0.985970,5.324238,14.789550
4,open_neon:MAT_OpenNeon_N_film,0.959863,5.183260,14.397945
5,open_neon:MAT_OpenNeon_N_film,0.924357,4.991528,13.865355
6,open_neon:MAT_OpenNeon_N_film,0.939432,5.072933,14.091480
7,open_neon:MAT_OpenNeon_N_film,0.984579,5.316727,14.768685
8,open_neon:MAT_OpenNeon_N_film,0.922298,4.980409,13.834470
9,open_neon:MAT_OpenNeon_N_film,0.933022,5.038319,13.995330
10,open_neon:MAT_OpenNeon_N_film,0.929246,5.017928,13.938690
11,open_neon:MAT_OpenNeon_N_film,0.940939,5.081071,14.114085
12,open_neon:MAT_OpenNeon_N_film,0.987325,5.331555,14.809875
13,open_neon:MAT_OpenNeon_N_film,0.982533,5.305678,14.737995
14,open_neon:MAT_OpenNeon_N_film,0.955605,5.160267,14.334075
15,open_neon:MAT_OpenNeon_N_film,0.966294,5.217988,14.494410
16,open_neon:MAT_OpenNeon_N_film,0.978166,5.282096,14.672490
17,open_neon:MAT_OpenNeon_N_film,0.972210,5.249934,14.583150
18,open_neon:MAT_OpenNeon_N_film,0.988493,5.337862,14.827395
19,open_neon:MAT_OpenNeon_N_film,0.988390,5.337306,14.825850
20,open_neon:MAT_OpenNeon_N_film,0.974852,5.264201,14.622780
21,open_neon:MAT_OpenNeon_N_film,0.927166,5.006696,13.907490
22,open_neon:MAT_OpenNeon_N_film,0.937667,5.063402,14.065005
23,open_neon:MAT_OpenNeon_N_film,0.931050,5.027670,13.965750
24,open_neon:MAT_OpenNeon_N_film,0.947304,5.115442,14.209560
25,open_neon:MAT_OpenNeon_N_film,0.943411,5.094419,14.151165
26,open_neon:MAT_OpenNeon_N_film,0.978641,5.284661,14.679615
27,open_neon:MAT_OpenNeon_N_film,0.951273,5.136874,14.269095
28,open_neon:MAT_OpenNeon_N_film,0.961630,5.192802,14.424450
29,open_neon:MAT_OpenNeon_N_film,0.974144,5.260378,14.612160
30,open_neon:MAT_OpenNeon_N_film,0.976524,5.273230,14.647860
31,open_neon:MAT_OpenNeon_N_film,0.987988,5.335135,14.819820
32,open_neon:MAT_OpenNeon_N_film,0.977006,5.275832,14.655090
33,open_neon:MAT_OpenNeon_N_film,0.963544,5.203138,14.453160
